MSH	MSH.Top	Disease	Indication	Category
immunologic deficiency syndromes	Immune System Diseases		"Immunodeficiency, unspecified"	Inflammation
impetigo	Bacterial Infections and Mycoses		Impetigo	Infection
impulse control disorders	Mental Disorders		"Addiction, gambling"	Neurological/behavioral
infarction	"Pathological Conditions, Signs and Symptoms"		"Infarction, unspecified"	Cardiovascular
infection	Bacterial Infections and Mycoses		"Diagnosis, infection"	Infection
"infertility, female"	Female Urogenital Diseases and Pregnancy Complications		"Infertility, female"	Urogenital
"infertility, male"	Male Urogenital Diseases		"Infertility, male"	Urogenital
inflammation	"Pathological Conditions, Signs and Symptoms"		"Diagnosis, inflammation"	Autoimmune
inflammatory bowel diseases	Digestive System Diseases		"Inflammatory bowel disease, unspecified"	Autoimmune
"influenza, human"	Virus Diseases		"Infection, influenza virus"	Infection
intellectual disability	Nervous System Diseases		Lennox-Gastaut syndrome	Neurological/behavioral
intervertebral disc degeneration	Musculoskeletal Diseases		"Regeneration, cartilage, intervertebral disc"	Musculoskeletal
intervertebral disc displacement	Musculoskeletal Diseases		Spinal disc herniation	Musculoskeletal
intraabdominal infections	Bacterial Infections and Mycoses		"Infection, intra-abdominal, complicated"	Infection
intracranial thrombosis	Nervous System Diseases		"Thrombosis, cerebral"	Neurological/behavioral
irritable bowel syndrome	Digestive System Diseases		"Irritable bowel syndrome, alternating"	Digestive system
ischemia	"Pathological Conditions, Signs and Symptoms"		"Ischaemia, general"	Cardiovascular
jaundice	"Pathological Conditions, Signs and Symptoms"		Jaundice	Metabolic
keratoconjunctivitis	Eye Diseases		Keratoconjunctivitis	Eye
keratoconus	Eye Diseases		Keratoconus	Eye
keratosis	Skin and Connective Tissue Diseases		"Keratosis, unspecified"	Skin & connective tissue
"keratosis, actinic"	Neoplasms		"Keratosis, actinic"	Oncology
kidney diseases	Male Urogenital Diseases		"Nephropathy, unspecified"	Liver & kidney
kidney neoplasms	Neoplasms		"Cancer, renal"	Oncology
leber congenital amaurosis	Eye Diseases		Leber's congenital amaurosis	Eye
leiomyoma	Neoplasms		"Fibrosis, uterine"	Oncology
leiomyosarcoma	Neoplasms		"Cancer, sarcoma, leiomyo"	Oncology
leishmaniasis	Parasitic Diseases		"Infection, leishmaniasis"	Infection
leprosy	Bacterial Infections and Mycoses		"Infection, leprosy"	Infection
lesch-nyhan syndrome	Nervous System Diseases	"Lesch-Nyhan syndrome,  "	Lesch-Nyhan syndrome	Neurological/behavioral
leukemia	Neoplasms		"Cancer, leukaemia, unspecifed"	Oncology
"leukemia, hairy cell"	Neoplasms		"Cancer, leukaemia, hairy cell"	Oncology
"leukemia, lymphoid"	Neoplasms		"Cancer, leukaemia, acute lymphocytic"	Oncology
"leukemia, mast-cell"	Neoplasms		"Cancer, leukaemia, mast cell"	Oncology
"leukemia, myeloid, acute"	Neoplasms		"Cancer, leukaemia, acute myelogenous"	Oncology
"leukemia, myelomonocytic, chronic"	Neoplasms		"Cancer, leukaemia, chronic myelogenous"	Oncology
"leukodystrophy, globoid cell"	Nervous System Diseases	"Krabbe disease,  "	"Leukodystrophy, globoid cell"	Neurological/behavioral
"leukodystrophy, metachromatic"	Nervous System Diseases	"Metachromatic leukodystrophy,  "	"Leukodystrophy, metachromatic"	Neurological/behavioral
"leukoencephalopathy, progressive multifocal"	Virus Diseases		Progressive multifocal leukoencephalopathy	Infection
leukopenia	Hemic and Lymphatic Diseases		"Leucopenia, unspecified"	Blood
leukoplakia	Neoplasms		Leukoplakia	Oncology
lewy body disease	Nervous System Diseases	"{Lewy body dementia, susceptibility to},  "	"Dementia, Lewy body"	Neurological/behavioral
li-fraumeni syndrome	Neoplasms		Li-Fraumeni syndrome	Oncology
lipodystrophy	Skin and Connective Tissue Diseases		Lipodystrophy	Skin & connective tissue
liposarcoma	Neoplasms		"Cancer, sarcoma, lipo"	Oncology
liver cirrhosis	Digestive System Diseases		"Cirrhosis, hepatic"	Digestive system
"liver cirrhosis, biliary"	Digestive System Diseases		"Cirrhosis, primary biliary"	Liver & kidney
liver diseases	Digestive System Diseases		"Hepatic dysfunction, general"	Digestive system
liver neoplasms	Neoplasms		"Cancer, liver"	Oncology
long qt syndrome	Cardiovascular Diseases		Long Q-T syndrome	Cardiovascular
lung neoplasms	Neoplasms		"Cancer, lung, unspecified"	Oncology
"lupus erythematosus, cutaneous"	Skin and Connective Tissue Diseases		"Lupus erythematosus, cutaneous"	Skin & connective tissue
"lupus erythematosus, systemic"	Skin and Connective Tissue Diseases		"Lupus erythematosus, systemic"	Autoimmune
lupus nephritis	Male Urogenital Diseases		"Nephritis, lupus"	Autoimmune
lymphangioleiomyomatosis	Neoplasms	"Lymphangioleiomyomatosis,  "	Lymphangioleiomyomatosis	Oncology
lymphedema	Hemic and Lymphatic Diseases		"Oedema, lymphatic obstruction-induced"	Blood
lymphoma	Neoplasms		"Cancer, lymphoma, unspecified"	Oncology
"lymphoma, b-cell"	Neoplasms		"Cancer, lymphoma, B-cell"	Oncology
"lymphoma, non-hodgkin"	Neoplasms	"Lymphoma, non-Hodgkin,  "	"Cancer, lymphoma, non-Hodgkin's"	Oncology
"lymphoma, t-cell"	Neoplasms		"Cancer, lymphoma, T-cell"	Oncology
macular degeneration	Eye Diseases		"Macular degeneration, age-related, dry"	Eye
macular edema	Eye Diseases		"Oedema, macular"	Eye
malabsorption syndromes	Digestive System Diseases		"Fat malabsorption, unspecified"	Digestive system
malaria	Parasitic Diseases		"Infection, malaria"	Infection
malignant carcinoid syndrome	Neoplasms		Carcinoid syndrome	Oncology
marburg virus disease	Virus Diseases		"Infection, Marburg virus"	Infection
marfan syndrome	Musculoskeletal Diseases	"Marfan syndrome,  "	Marfan syndrome	Musculoskeletal
mastocytosis	Neoplasms		Mastocytosis	Oncology
mastodynia	Nervous System Diseases		Mastalgia	Neurological/behavioral
measles	Virus Diseases		"Infection, measles prophylaxis"	Infection
meconium aspiration syndrome	Respiratory Tract Diseases		Meconium aspiration syndrome	Respiratory
melanoma	Neoplasms		"Cancer, melanoma"	Oncology
melanosis	Skin and Connective Tissue Diseases		Melasma	Skin & connective tissue
memory disorders	Nervous System Diseases		"Cognitive disorder, unspecified"	Neurological/behavioral
meniere disease	Otorhinolaryngologic Diseases		Meniere's disease	Miscellaneous
"meningitis, aseptic"	Virus Diseases		"Meningitis, non-infectious"	Infection
"meningitis, viral"	Virus Diseases		"Infection, meningitis, viral"	Infection
meningococcal infections	Bacterial Infections and Mycoses		"Infection, meningococcal"	Infection
menorrhagia	Female Urogenital Diseases and Pregnancy Complications		Menorrhagia	Urogenital
menstruation disturbances	"Pathological Conditions, Signs and Symptoms"		"Menopausal symptoms, unspecified"	Urogenital
mesothelioma	Neoplasms	"{Mesothelioma, somatic},  "	"Cancer, mesothelioma"	Oncology
metabolic diseases	Nutritional and Metabolic Diseases		"Alimentary/metabolic disease, unspecified"	Metabolic
metabolic syndrome x	Nutritional and Metabolic Diseases		Insulin-related metabolic syndrome	Metabolic
migraine disorders	Nervous System Diseases		Migraine	Neurological/behavioral
mitochondrial diseases	Nutritional and Metabolic Diseases		"Mitochondrial disease, unspecified"	Metabolic
mitochondrial encephalomyopathies	Musculoskeletal Diseases		"Mitochondrial encephalomyopathy, lactic acidosis, stroke-like"	Musculoskeletal
morphine dependence	Substance-Related Disorders		"Addiction, metamfetamine"	Neurological/behavioral
motor neuron disease	Nervous System Diseases		"Motor neurone disease, unspecified"	Neurological/behavioral
mouth neoplasms	Neoplasms		"Cancer, oral"	Oncology
movement disorders	Nervous System Diseases		"Dyskinesia, tardive"	Neurological/behavioral
mucocutaneous lymph node syndrome	Cardiovascular Diseases		"Infection, Kawasaki disease"	Autoimmune
mucopolysaccharidosis i	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Mucopolysaccharidosis Is,  "	Mucopolysaccharidosis I	Metabolic
mucopolysaccharidosis ii	Nervous System Diseases	"Mucopolysaccharidosis II,  "	Mucopolysaccharidosis II	Neurological/behavioral
mucopolysaccharidosis iii	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Mucopolysaccharidosis type IIID,  "	Mucopolysaccharidosis IIIA	Metabolic
mucopolysaccharidosis iv	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Mucopolysaccharidosis type IVB (Morquio),  "	Mucopolysaccharidosis IV	Metabolic
mucopolysaccharidosis vi	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Mucopolysaccharidosis type VI (Maroteaux-Lamy),  "	Mucopolysaccharidosis VI	Metabolic
mucopolysaccharidosis vii	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Mucopolysaccharidosis VII,  "	Mucopolysaccharidosis VII	Metabolic
mucositis	Digestive System Diseases		"Mucositis, unspecified"	Digestive system
multiple myeloma	Neoplasms		"Cancer, myeloma"	Oncology
multiple sclerosis	Nervous System Diseases		"Multiple sclerosis, unspecified"	Autoimmune
"multiple sclerosis, chronic progressive"	Nervous System Diseases		"Multiple sclerosis, progressive, primary"	Neurological/behavioral
"multiple sclerosis, relapsing-remitting"	Nervous System Diseases		"Multiple sclerosis, relapsing-remitting"	Neurological/behavioral
multiple system atrophy	Nervous System Diseases		Multiple system atrophy	Neurological/behavioral
muscle spasticity	Musculoskeletal Diseases		Spasticity	Musculoskeletal
muscular atrophy	Nervous System Diseases		"Muscular atrophy, unspecified"	Neurological/behavioral
"muscular atrophy, spinal"	Nervous System Diseases		"Muscular atrophy, spinal"	Neurological/behavioral
muscular dystrophies	Musculoskeletal Diseases		"Dystrophy, congenital muscular"	Musculoskeletal
"muscular dystrophies, limb-girdle"	Musculoskeletal Diseases		Dysferlinopathy	Musculoskeletal
"muscular dystrophy, duchenne"	Musculoskeletal Diseases	"Duchenne muscular dystrophy,  "	"Dystrophy, Becker muscular"	Musculoskeletal
"muscular dystrophy, facioscapulohumeral"	Musculoskeletal Diseases		"Dystrophy, facioscapulohumeral muscular"	Musculoskeletal
"muscular dystrophy, oculopharyngeal"	Musculoskeletal Diseases	"Oculopharyngeal muscular dystrophy,  "	"Dystrophy, oculopharyngeal muscular"	Musculoskeletal
musculoskeletal diseases	Musculoskeletal Diseases		"Infection, musculoskeletal"	Musculoskeletal
musculoskeletal pain	Nervous System Diseases		"Pain, musculoskeletal, arthritis"	Neurological/behavioral
myasthenia gravis	Nervous System Diseases		Myasthenia gravis	Neurological/behavioral
mycoses	Bacterial Infections and Mycoses		"Infection, fungal, unspecified"	Infection
myelodysplastic syndromes	Hemic and Lymphatic Diseases		Myelodysplastic syndrome	Blood
myocardial infarction	Cardiovascular Diseases		"Infarction, myocardial"	Cardiovascular
myopia	Eye Diseases		Myopia	Eye
myositis	Musculoskeletal Diseases		Idiopathic inflammatory myositis	Musculoskeletal
myositis ossificans	Musculoskeletal Diseases	"Fibrodysplasia ossificans progressiva,  "	Fibrodysplasia ossificans progressiva	Musculoskeletal
"myositis, inclusion body"	Musculoskeletal Diseases		Hereditary inclusion body myopathy	Musculoskeletal
myotonic dystrophy	Musculoskeletal Diseases		"Dystrophy, myotonic muscular"	Musculoskeletal
narcolepsy	Nervous System Diseases		Narcolepsy	Neurological/behavioral
nasal polyps	Respiratory Tract Diseases		"Polyp, nasal"	Respiratory
nasopharyngeal neoplasms	Neoplasms		"Cancer, nasopharyngeal"	Oncology
nausea	"Pathological Conditions, Signs and Symptoms"		"Nausea and vomiting, unspecified"	Miscellaneous
neoplasms	Neoplasms		"Cancer, solid, unspecified"	Oncology
"neoplasms, basal cell"	Neoplasms		"Cancer, basal cell"	Oncology
"neoplasms, squamous cell"	Neoplasms		"Cancer, squamous cell"	Oncology
nephritis	Male Urogenital Diseases		"Nephritis, diabetic"	Urogenital
nephrotic syndrome	Male Urogenital Diseases		Nephrotic syndrome	Urogenital
nervous system diseases	Nervous System Diseases		"Neurological disease, unspecified"	Neurological/behavioral
netherton syndrome	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Netherton syndrome,  "	Netherton's syndrome	Skin & connective tissue
neuralgia	Nervous System Diseases		"Pain, neuropathic"	Neurological/behavioral
"neuralgia, postherpetic"	Nervous System Diseases		"Pain, post-herpetic"	Neurological/behavioral
neuroblastoma	Neoplasms		"Cancer, neuroendocrine, neuroblastoma"	Oncology
"neuroectodermal tumors, primitive"	Neoplasms		"Cancer, sarcoma, neuroectodermal"	Oncology
neurofibromatoses	Neoplasms		Neurofibromatosis	Oncology
neuroma	Neoplasms		"Neuroma, interdigital"	Oncology
neuronal ceroid-lipofuscinoses	Nervous System Diseases		Batten's disease	Neurological/behavioral
neurotic disorders	Mental Disorders		"Neurosis, unspecified"	Neurological/behavioral
neutropenia	Hemic and Lymphatic Diseases		"Neutropenia, unspecified"	Blood
niemann-pick diseases	Nervous System Diseases		Niemann-Pick disease	Neurological/behavioral
noonan syndrome	Musculoskeletal Diseases	"Noonan syndrome 1,  "	Noonan syndrome	Musculoskeletal
"nystagmus, pathologic"	Nervous System Diseases		Nystagmus	Neurological/behavioral
obesity	Nutritional and Metabolic Diseases		Obesity	Metabolic
obsessive-compulsive disorder	Mental Disorders	"{Obsessive-compulsive disorder, protection against},  "	Obsessive-compulsive disorder	Neurological/behavioral
obstetric labor complications	Female Urogenital Diseases and Pregnancy Complications		"Labour, induction"	Urogenital
ocular motility disorders	Nervous System Diseases		"Ocular disorder, unspecified"	Eye
opioid-related disorders	Substance-Related Disorders		"Addiction, narcotic/opiate"	Neurological/behavioral
opsoclonus-myoclonus syndrome	Neoplasms		Opsoclonus myoclonus syndrome	Oncology
optic neuritis	Nervous System Diseases		"Neuritis, optic"	Neurological/behavioral
"optic neuropathy, ischemic"	Nervous System Diseases		"Neuropathy, ischaemic optic"	Neurological/behavioral
"ossification, heterotopic"	"Pathological Conditions, Signs and Symptoms"		"Ossification, heterotopic"	Musculoskeletal
osteitis deformans	Musculoskeletal Diseases		Paget's disease	Musculoskeletal
osteoarthritis	Musculoskeletal Diseases		"Arthritis, osteo"	Musculoskeletal
osteogenesis imperfecta	Musculoskeletal Diseases	"Osteogenesis imperfecta, type I,  "	Osteogenesis imperfecta	Musculoskeletal
osteomyelitis	Bacterial Infections and Mycoses		"Infection, bone"	Musculoskeletal
osteonecrosis	Musculoskeletal Diseases		Osteonecrosis	Musculoskeletal
osteopetrosis	Musculoskeletal Diseases	"Osteopetrosis, autosomal dominant 2,  "	Osteopetrosis	Musculoskeletal
osteoporosis	Musculoskeletal Diseases		Osteoporosis	Musculoskeletal
osteosarcoma	Neoplasms		"Cancer, sarcoma, osteo"	Oncology
otitis	Otorhinolaryngologic Diseases		"Infection, otological"	Inflammation
otitis externa	Otorhinolaryngologic Diseases		Otitis externa	Inflammation
otitis media	Otorhinolaryngologic Diseases		Otitis media	Inflammation
ovarian neoplasms	Neoplasms		"Cancer, ovarian"	Oncology
pachyonychia congenita	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Pachyonychia congenita, Jadassohn-Lewandowsky type,  "	Pachyonychia congenita	Skin & connective tissue
pain	Nervous System Diseases		"Pain, cancer"	Neurological/behavioral
"pain, postoperative"	"Pathological Conditions, Signs and Symptoms"		"Pain, post-operative"	Neurological/behavioral
pancreatic neoplasms	Neoplasms		"Cancer, neuroendocrine, pancreatic"	Oncology
pancreatitis	Digestive System Diseases		"Pancreatic dysfunction, unspecified"	Digestive system
panic disorder	Mental Disorders		Panic disorder	Neurological/behavioral
papilloma	Neoplasms		"Infection, human papilloma virus prophylaxis"	Oncology
papillomavirus infections	Virus Diseases		"Infection, human papilloma virus"	Infection
paramyxoviridae infections	Virus Diseases		"Infection, parainfluenza virus"	Infection
paraphilias	Mental Disorders		Sexual deviations	Neurological/behavioral
parkinson disease	Nervous System Diseases		Parkinson's disease	Neurological/behavioral
"pemphigoid, bullous"	Skin and Connective Tissue Diseases		Pemphigoid	Skin & connective tissue
